id,name,condition,behavior,fnId,sourceLineStart,sourceLineEnd
af:polygraph-viz:src/server.ts:buildApp:guard-9,early-return guard,!query,early return,fn:polygraph-viz:src/server.ts:buildApp,364,364
af:polygraph-viz:src/server.ts:buildApp:try-3,try/catch in fn,err,"frame('error', { detail: String(err) });",fn:polygraph-viz:src/server.ts:buildApp,392,408
af:polygraph-viz:src/server.ts:buildApp:guard-10,early-return guard,!bedrock || !kb,early return,fn:polygraph-viz:src/server.ts:buildApp,427,429
af:polygraph-viz:src/server.ts:buildApp:guard-11,early-return guard,!embedCacheReady,early return,fn:polygraph-viz:src/server.ts:buildApp,430,432
af:polygraph-viz:src/server.ts:buildApp:guard-12,early-return guard,!query,early return,fn:polygraph-viz:src/server.ts:buildApp,438,438
af:polygraph-viz:src/server.ts:buildApp:guard-13,early-return guard,!kb,early return,fn:polygraph-viz:src/server.ts:buildApp,470,472
af:polygraph-viz:src/server.ts:buildApp:guard-14,early-return guard,!body.query || !body.answer,early return,fn:polygraph-viz:src/server.ts:buildApp,478,480
af:polygraph-viz:src/server.ts:buildApp:guard-15,early-return guard,requested.length === 0,early return,fn:polygraph-viz:src/server.ts:buildApp,518,520
af:polygraph-viz:src/server.ts:buildApp:guard-16,early-return guard,!kb,early return,fn:polygraph-viz:src/server.ts:buildApp,568,570
af:polygraph-viz:src/server.ts:buildApp:guard-17,early-return guard,!existsSync(filePath),early return,fn:polygraph-viz:src/server.ts:buildApp,588,593
af:polygraph-viz:src/server.ts:buildApp:guard-18,early-return guard,!existsSync(filePath),early return,fn:polygraph-viz:src/server.ts:buildApp,606,608
